modelo,rmse,mae,mape,r2
BaggingRegressor,593.2675615966687,448.4392857142857,70.98870180869051,0.17703460250174985
RandomForestRegressor,624.4679803783835,482.95464285714286,70.44333781348715,0.08819762487182747
ExtraTreesRegressor,780.8727170082568,553.3839285714286,68.04359224636303,-0.42574175247904833
HistGradientBoostingRegressor,803.487823723169,687.5339681375074,111.44043380279696,-0.5095203389310266
ExtraTreeRegressor,1015.5793033675762,690.8214285714286,93.76392222870284,-1.4116154250262984
PassiveAggressiveRegressor,1022.269326914457,863.1489636326688,165.63236544929796,-1.4434926081787016
LinearSVR,1092.9097617771451,894.8923487681053,67.72708153216787,-1.7928588015188676
HuberRegressor,1123.5332976988507,925.8614211983606,193.32663301163967,-1.9515644130910346
LarsCV,1153.744979318421,1066.6160324995542,188.92950534482296,-2.112433046423319
LassoLarsCV,1211.618706196868,1016.5700972208703,159.35864685186394,-2.4325139356534975
DecisionTreeRegressor,1212.7867996595985,743.9642857142857,79.82776746106428,-2.439135539958509
LassoCV,1227.154860608578,1032.675818432382,164.52366915713608,-2.521106113433532
MLPRegressor,1294.474410731365,1118.6420865588905,97.91870465972826,-2.918025957205957
OrthogonalMatchingPursuitCV,1338.324839167425,946.961567799831,153.10795626324918,-3.187968886308651
ElasticNet,1365.6094669269526,1180.3194455023076,162.73599849184933,-3.3604710467392636
LassoLarsIC,1412.7589103427647,1191.7286477854957,241.28825605725467,-3.66677088480988
OrthogonalMatchingPursuit,1425.813107791606,1322.0674242374992,234.06465357065377,-3.75341328287485
BayesianRidge,1425.8143678942304,1187.800079649541,246.46360912920719,-3.7534216848051827
RidgeCV,1433.4599870669324,1194.5189116660474,248.328418464019,-3.8045367431270316
SGDRegressor,1460.200632366676,1219.2550830057787,247.592979249682,-3.9854622703231053
Ridge,1462.30912646511,1222.1951183835474,255.71573489935693,-3.999870437181837
Lasso,1463.9653418954101,1224.6015324401617,256.16147171648856,-4.011202585606172
LassoLars,1464.0555168995163,1224.728281798984,256.1889078451172,-4.01181994876096
GaussianProcessRegressor,1465.5314496251738,1029.3179612035162,112.35861182007054,-4.0219299993038
LinearRegression,1466.4384421911848,1226.3999383980847,256.82493042439927,-4.028147897443432
TransformedTargetRegressor,1466.4384421911848,1226.3999383980847,256.82493042439927,-4.028147897443432
Lars,1472.2144022082862,1243.6110369560395,260.5627067166071,-4.067835314209813
GradientBoostingRegressor,1492.455634088341,770.9297391505605,70.5794538600259,-4.208146945431909
TweedieRegressor,1670.1788085654894,1419.422387495955,167.5445271714247,-5.52238315254018
RANSACRegressor,1681.8228673816943,1278.728532659957,331.51507721166996,-5.613644943456526
KNeighborsRegressor,1682.8225574908367,1009.8714285714286,89.67039798108452,-5.621509696110892
PoissonRegressor,1695.794757657383,1523.3115711407224,201.89021514813197,-5.723988256154007
AdaBoostRegressor,2051.79571754877,1904.014719259507,321.67201902023345,-8.843478738888987
ElasticNetCV,3485.658662262352,3454.6112170538245,551.8396934672346,-27.408616331203707
SVR,4676.057150243237,4631.072044038709,794.9251328273012,-50.12578511935058
QuantileRegressor,4697.247377834324,4651.5,799.260976972871,-50.59020277060848
NuSVR,5636.349026271441,5598.707458471436,945.8424036816783,-73.28072376817755
DummyRegressor,6231.129404654996,6196.716306156408,1039.4187241399331,-89.78496084333042
KernelRidge,7514.060067095563,7370.50161427377,1246.384452756037,-131.01694984331724
