date,new_confirmed,new_deaths
2020-02-25,1,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,1,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,1,0
2020-03-05,3,0
2020-03-06,4,0
2020-03-07,3,0
2020-03-08,3,0
2020-03-09,0,0
2020-03-10,3,0
2020-03-11,11,0
2020-03-12,16,0
2020-03-13,0,0
2020-03-14,19,0
2020-03-15,0,0
2020-03-16,87,0
2020-03-17,12,1
2020-03-18,76,2
2020-03-19,46,2
2020-03-20,110,4
2020-03-21,0,6
2020-03-22,235,7
2020-03-23,114,8
2020-03-24,65,10
2020-03-25,52,8
2020-03-26,190,10
2020-03-27,171,10
2020-03-28,183,16
2020-03-29,45,14
2020-03-30,66,15
2020-03-31,822,23
2020-04-01,642,28
2020-04-02,525,24
2020-04-03,542,31
2020-04-04,418,41
2020-04-05,154,15
2020-04-06,246,29
2020-04-07,816,67
2020-04-08,1026,57
2020-04-09,772,68
2020-04-10,736,44
2020-04-11,203,20
2020-04-12,336,28
2020-04-13,140,20
2020-04-14,476,87
2020-04-15,1672,83
2020-04-16,525,75
2020-04-17,1273,75
2020-04-18,1053,63
2020-04-19,373,24
2020-04-20,313,22
2020-04-21,805,56
2020-04-22,529,41
2020-04-23,826,211
2020-04-24,1086,167
2020-04-25,2178,155
2020-04-26,711,33
2020-04-27,981,125
2020-04-28,2345,224
2020-04-29,2117,198
2020-04-30,2540,128
2020-05-01,1676,136
2020-05-02,800,75
2020-05-03,598,41
2020-05-04,415,27
2020-05-05,1866,197
2020-05-06,3800,194
2020-05-07,2075,161
2020-05-08,1902,210
2020-05-09,2581,192
2020-05-10,1033,101
2020-05-11,687,34
2020-05-12,1588,206
2020-05-13,3378,169
2020-05-14,3189,197
2020-05-15,4092,186
2020-05-16,2805,187
2020-05-17,1162,94
2020-05-18,721,41
2020-05-19,2929,324
2020-05-20,3864,216
2020-05-21,3880,195
2020-05-22,3132,215
2020-05-23,3687,272
2020-05-24,1603,118
2020-05-25,1464,57
2020-05-26,2392,203
2020-05-27,3466,289
2020-05-28,6382,268
2020-05-29,5691,295
2020-05-30,5586,257
2020-05-31,2556,83
